"prompt","label"
"Hello, I am looking to take a mortgage in order to buy a new house, can you tell me about the options I have?","loans"
"What's the current interest rate for your savings accounts?","other"
"I want to start investing in stocks, what are the first steps?","investments"
"Can you help me understand how your auto loans work?","loans"
"How do I check my account balance?","other"
"What mutual funds do you recommend for long-term growth?","investments"
"I need to know more about your business loan requirements.","loans"
"Can you explain your ETF investment options?","investments"
"I'm interested in a personal loan for home renovation.","loans"
"What are the fees associated with your investment accounts?","investments"
"Do you offer student loan refinancing?","loans"
"I'd like to discuss portfolio diversification strategies.","investments"
"What documents do I need to apply for a small business loan?","loans"
"How do I report a lost debit card?","other"
"What's the minimum investment needed to start a retirement account?","investments"
"Can you explain the difference between fixed and variable rate loans?","loans"
"How do I set up mobile banking?","other"
"I'm interested in bond investments, what options do you offer?","investments"
"What's the maximum amount I can borrow for a personal loan?","loans"
"How do I order new checks?","other"
"Can you help me understand your cryptocurrency investment options?","investments"
"I need information about debt consolidation loans.","loans"
"What are your branch operating hours?","other"
"How do I start investing in real estate investment trusts (REITs)?","investments"
"What credit score do I need for a car loan?","loans"
"What's your approach to sustainable and ESG investing?","investments"
"Can I get pre-approved for a home loan?","loans"
"How do I set up direct deposit?","other"
"What are the risks associated with penny stock investments?","investments"
"Do you offer construction loans?","loans"
"Where can I find my tax statements?","other"
"How do I open a 529 college savings plan?","investments"
"What's the typical timeline for loan approval?","loans"
"Can you help me with international wire transfers?","other"
"What's the difference between active and passive investment strategies?","investments"
"Do you offer VA loans?","loans"
"How do I change my PIN?","other"
"Can you explain your options for precious metal investments?","investments"
"What collateral do you accept for secured loans?","loans"
"How do I link external accounts?","other"
"What are your index fund options?","investments"
"Do you offer equipment financing loans?","loans"
"What's your policy on overdraft protection?","other"
"How can I invest in municipal bonds through your bank?","investments"
"What's the minimum down payment for an FHA loan?","loans"
"How do I set up account alerts?","other"
"Can you explain dollar-cost averaging investment strategy?","investments"
"What are the terms for bridge loans?","loans"
"How do I order a replacement card?","other"
"What's your approach to value investing?","investments"
"Do you offer interest-only loans?","loans"
"What are the daily withdrawal limits?","other"
"How do I start investing in dividend stocks?","investments"
"Can you explain how commercial real estate loans work?","loans"
"How do I update my contact information?","other"
"What investment options do you have for retirement planning?","investments"
"What's the process for applying for a line of credit?","loans"
"How do I deposit a check using my phone?","other"
"Can you explain your options for international investments?","investments"
"Do you offer HELOC loans?","loans"
"What's your policy on wire transfer fees?","other"
"How can I invest in emerging markets through your bank?","investments"
"What are the requirements for a jumbo loan?","loans"
"How do I set up paperless statements?","other"
"What are your options for fixed-income investments?","investments"
"Can you explain how invoice financing works?","loans"
"How do I report suspicious account activity?","other"
"What's your approach to sector-specific investments?","investments"
"Do you offer agricultural loans?","loans"
"What are your ATM locations?","other"
"How do I start a hedge fund investment?","investments"
"What's required for a boat loan application?","loans"
"What are your options for tax-advantaged investments?","investments"
"Do you offer credit builder loans?","loans"
"Can you explain your margin trading options?","investments"
"What are your SBA loan programs?","loans"
"How do I set up online bill pay?","other"
"What are your options for socially responsible investing?","investments"
"Can you explain how balloon loans work?","loans"
"What's your policy on check holds?","other"
"How do I invest in IPOs through your bank?","investments"
"What documentation is needed for a commercial loan?","loans"
"How do I request a credit limit increase?","other"
"What are your options for target-date fund investments?","investments"
"Do you offer motorcycle loans?","loans"
"How do I dispute a credit report error?","other"
"Can you explain your options for options trading?","investments"
"What's the process for refinancing my mortgage?","loans"
"How do I set up recurring transfers?","other"
"What are your international investment fund options?","investments"
"Can you explain peer-to-peer lending options?","loans"
"What's your approach to growth stock investing?","investments"
"Do you offer RV loans?","loans"
"How can I invest in commodities through your bank?","investments"
"What are your wedding loan options?","loans"
"What are your small-cap investment options?","investments"
"Can you explain how payday alternative loans work?","loans"
"What's your approach to defensive investment strategies?","investments"
"Do you offer green energy loans?","loans"
"How do I report tax fraud?","other"
